Description,link,sno
"DeepthiFabric: Handloom Double Mercerised Dharwad Cotton 
 Sleeve: 19 inches 
Style: Basic Side Slit Kurti with butter crepe lining
Length: 39.5 Inches 
Colour: Dual Tone Orange & Yellow",https://instore.co.in//collections/offers/products/deepti,30
"Indigo Fever FFabric: Hand Block printed modal
Sleeve: 19 Inches 
Style: Straight cut kurti with front slit and side slit 
Length: 45.5 Inches 
Color: Indigo
Disclaimer-
1.  Your hand dyed indigo garments should be washed in cold water only, separately from other items with a mild detergent.
2. Do not rub the garment vigorously or soak the garment for a long time.You may notice a little blue coming out into the water – this is normal and will not happen after a couple of washes.
3. Hand drying in a shaded area is recommended to avoid excessive fading in direct sunlight. Pro tip: Store them away from sunlight to keep the color intact.
But keep in mind that the Indigo coloured garments tend to fade overtime but this only adds to the character of the garment. So don’t worry and enjoy your beautiful garments!",https://instore.co.in//collections/offers/products/victoria,31
"Adhya GreenFabric: Silk Cotton
 Sleeve: 15 inches 
Style: Full flared anarkali with aari work in front yoke
 Length: 54.5 Inches
 Colour: Bottle Green",https://instore.co.in//collections/offers/products/adhya-green,32
"ManzilFabric: Printed Cotton. 
Style: Printed Cotton Anarkali With Embroidered, And Sequence Work In Front. 
 Kurti Length- 47 Inches, 
Sleeve Length- 17 Inches. 
Color: Blue.",https://instore.co.in//collections/offers/products/manzil,33
"Chozhamadevi Teal (kurti+dupatta)Fabric: Georgette with Butter crepe Lining
Sleeve: 15.3 inches 
Style: Full Flared Anarklai with Aari work in front yoke, sleeves & dupatta border
Length: 45 Inches 
Dupatta: 2.45 mts
Colour: Teal",https://instore.co.in//collections/offers/products/chozhamadevi-teal-kurti-dupatta,34
"IravinizhalFabric: Cotton
Sleeve: 19 inches 
Style: Angrakha Coat Model Kurti. This can be Wear as Coat For Denim
Neck Depth:8.5 inches
Length: 48.5 Inches
 Color: Black & Rust",https://instore.co.in//collections/offers/products/iravinizhal,35
"JanetFabric: Chanderi 
Sleeve: 18 inches 
Style: Stylish Full Flared Anarkali with Embroidered work 
Length: 55 Inches 
Color: Turquoise",https://instore.co.in//collections/offers/products/janet,36
"JanushaFabric: Banarasi & Satin
Sleeve: 5.5 inches 
Style: Basic Short fit Kurti with Side Slit
Length: 42 Inches  
Colour: Vibrant Teal",https://instore.co.in//collections/offers/products/janusha,37
"DhanushaFabric: South Cotton
Sleeve: 7 inches 
Style: Full flared Anarkali with Contrast yellow Pintuck border
Length: 55Inches 
 Colour: Dark Teal",https://instore.co.in//collections/offers/products/dhanusha,38
"ThariniFabric: Cotton 
Sleeve: 18 Inches Sleeve 
Style:Floral printed straightcut kurtiwith Side Slit
Length: Kurti - 42 Inches
Colour:Yellow",https://instore.co.in//collections/offers/products/tharini,39
